id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
24,3,,男,2023,财政金融学院,金融学类,金融一班,,男,2023,财政金融学院,金融学类,金融一班,,男,2023,财政金融学院,金融学-数据科学与大数据技术,金融学-数据科学与大数据技术双学位实验班,,未提交,3.46,0,0,0.636514168,0.367491626,2,0,未获奖
25,3,,女,2022,商学院,财务管理,2022级本科6班,,女,2022,商学院,会计,2022级本科6班,,女,2022,商学院,会计,2022级本科6班,C,成功参赛,3.4,0,0,0.636514168,0.367491626,0,0,成功参赛（未获奖）
26,3,,男,2023,财政金融学院,金融学数学,2023级金融学-数学实验班,,男,2023,财政金融学院,金融学,2023级本科金融一班,,女,2023,财政金融学院,金融学-数学,2023级金融学-数学实验班,C,成功参赛,3.38,0,0.636514168,1.098612289,0.551608847,4,0.318257084,成功参赛（未获奖）
27,3,,女,2023,中法学院,金融学类,金融2班,,男,2023,中法学院,金融学,金融2班,,女,2023,中法学院,金融学,金融2班,C,北京二等奖,3.816666667,0,0.636514168,0.636514168,0.367491626,0,0.318257084,市级奖项
28,3,,女,2023,统计学院,统计公共管理,本科五班,,女,2023,统计学院,统计学类,本科一班,,女,2023,统计学院,统计学类,本科一班,C,成功参赛,3.47,0,0,0.636514168,0.367491626,3,0,成功参赛（未获奖）
29,3,,女,2023,统计学院,数科营管双学位,2023级本科5班,,女,2023,统计学院,统计,2023级本科1班,,男,2023,统计学院,统计,2023级本科2班,C,北京一等奖,3.59,0,0.636514168,0.636514168,0.367491626,0,0.318257084,市级奖项
30,3,,男,2023,统计学院,统计学类,1班,,女,2023,统计学院,统计学类,2班,,男,2023,财政金融学院,财政学类,23财税班,C,成功参赛,3.73,0.165689564,0.636514168,0.636514168,0.271830712,3,0.318257084,成功参赛（未获奖）
31,3,,女,2023,统计学院,数据科学与大数据技术,1,,男,2023,统计学院,经济统计学,3,,女,2023,统计学院,统计学类,2,C,成功参赛,3.55,0,0.636514168,1.098612289,0.551608847,3,0.318257084,成功参赛（未获奖）
32,3,,男,2022,商学院,管理科学（商业数据分析方向）,本科2班,,男,2022,统计学院,应用统计学,本科2班,,女,2022,商学院,财务管理,本科4班,C,北京二等奖,3.53,0.329253192,0.636514168,1.098612289,0.387267651,4.5,0.318257084,市级奖项
33,3,,男,2023,统计学院,统计学类,统计学 2 班,,男,2023,统计学院,统计学类专业,统计 1 班,,男,2023,统计学院,统计学类,统计学1 班,B,成功参赛,3.23,0,0,0.636514168,0.367491626,0,0,成功参赛（未获奖）
